tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-death-comments,animal-life-stage,animal-mass,animal-ring-id,attachment-type,deploy-on-latitude,deploy-on-longitude,deployment-comments,deployment-end-type,deployment-id,duty-cycle,location-accuracy-comments,manipulation-type,study-site,tag-manufacturer-name,tag-mass,tag-readout-method
2669,ZAC 9A69901,Ciconia ciconia,2012-11-30 02:00:43.000,,,juvenile,,ZAC 9A69901,harness,,,,,ZAC 9A69901 (2669),5 min from 400 to 2200 local time at breeding grounds; 3D acc bursts recorded for 3.8 s at 10.54 Hz,50% of fixes remain within 3.6 m over 24 hr when stationary,none,South Africa,e-obs GmbH,43.0,other-wireless
2744,Shahlo,Ciconia ciconia,2013-06-01 00:00:00.000,,,juvenile,,,harness,40.996,69.038,,,Shahlo (eobs 2744),5 min from 400 to 2200 local time at breeding grounds; 3D acc bursts recorded for 3.8 s at 10.54 Hz,50% of fixes remain within 3.6 m over 24 hr when stationary,none,Uzbekistan,e-obs GmbH,43.0,other-wireless
2734,Mansur,Ciconia ciconia,2013-06-01 00:00:00.000,2013-08-09 23:59:59.999,confirmed dead,juvenile,,,harness,40.996,69.038,,dead,+13 Mansur (eobs 2734),5 min from 400 to 2200 local time at breeding grounds; 3D acc bursts recorded for 3.8 s at 10.54 Hz,50% of fixes remain within 3.6 m over 24 hr when stationary,none,Uzbekistan,e-obs GmbH,43.0,other-wireless
2739,Sayyid,Ciconia ciconia,2013-06-01 00:00:00.000,,,juvenile,,,harness,40.996,69.038,,,Sayyid (eobs 2739),5 min from 400 to 2200 local time at breeding grounds; 3D acc bursts recorded for 3.8 s at 10.54 Hz,50% of fixes remain within 3.6 m over 24 hr when stationary,none,Uzbekistan,e-obs GmbH,43.0,other-wireless
2745,Dilya,Ciconia ciconia,2013-06-01 00:00:00.000,,confirmed dead,juvenile,,,harness,40.996,69.038,,dead,+13 Dilya (eobs 2745),5 min from 400 to 2200 local time at breeding grounds; 3D acc bursts recorded for 3.8 s at 10.54 Hz,50% of fixes remain within 3.6 m over 24 hr when stationary,none,Uzbekistan,e-obs GmbH,43.0,other-wireless
2737,Halim,Ciconia ciconia,2013-06-01 00:00:17.000,2013-12-24 23:59:59.999,confirmed dead,juvenile,,,harness,40.996,69.038,,dead,+13 Halim (eobs 2737),5 min from 400 to 2200 local time at breeding grounds; 3D acc bursts recorded for 3.8 s at 10.54 Hz,50% of fixes remain within 3.6 m over 24 hr when stationary,none,Uzbekistan,e-obs GmbH,43.0,other-wireless
2735,Grigori,Ciconia ciconia,2013-06-01 02:34:00.000,2014-02-10 23:59:59.999,confirmed dead,juvenile,,,harness,40.996,69.038,,dead,+13 Grigori (eobs 2735),5 min from 400 to 2200 local time at breeding grounds; 3D acc bursts recorded for 3.8 s at 10.54 Hz,50% of fixes remain within 3.6 m over 24 hr when stationary,none,Uzbekistan,e-obs GmbH,43.0,other-wireless
2747,DER AP809,Ciconia ciconia,2013-06-08 04:54:25.000,,,juvenile,,DER AP809,harness,36.809,10.261,tarsus length: 215 mm; length beak top: 117 mm,,DER AP809 (2747),5 min from 400 to 2200 local time at breeding grounds; 3D acc bursts recorded for 3.8 s at 10.54 Hz,50% of fixes remain within 3.6 m over 24 hr when stationary,none,Tunisia,e-obs GmbH,43.0,other-wireless
2845,DER AP808,Ciconia ciconia,2013-06-08 04:55:17.000,,,juvenile,,DER AP808,harness,36.809,10.261,tarsus length: 229 mm; length beak top: 119 mm,,DER AP808 (2845),5 min from 400 to 2200 local time at breeding grounds; 3D acc bursts recorded for 3.8 s at 10.54 Hz,50% of fixes remain within 3.6 m over 24 hr when stationary,none,Tunisia,e-obs GmbH,43.0,other-wireless
2764,DER AP802,Ciconia ciconia,2013-06-08 04:55:45.000,,confirmed dead,juvenile,,DER AP802,harness,36.809,10.261,tarsus length: 210 mm; length beak top: 99 mm,dead,DER AP802 (2764) +,5 min from 400 to 2200 local time at breeding grounds; 3D acc bursts recorded for 3.8 s at 10.54 Hz,50% of fixes remain within 3.6 m over 24 hr when stationary,none,Tunisia,e-obs GmbH,43.0,other-wireless
2758,DER AP806,Ciconia ciconia,2013-06-08 04:56:01.000,,confirmed dead,juvenile,,DER AP806,harness,36.809,10.261,tarsus length: 163 mm; length beak top: 80 mm,dead,DER AP806 (2758) +,5 min from 400 to 2200 local time at breeding grounds; 3D acc bursts recorded for 3.8 s at 10.54 Hz,50% of fixes remain within 3.6 m over 24 hr when stationary,none,Tunisia,e-obs GmbH,43.0,other-wireless
2751,DER AP803,Ciconia ciconia,2013-06-08 05:00:25.000,2014-04-04 23:59:59.999,confirmed dead,juvenile,,DER AP803,harness,36.809,10.261,tarsus length: 225 mm; length beak top: 110 mm,dead,DER AP803 (2751) +,5 min from 400 to 2200 local time at breeding grounds; 3D acc bursts recorded for 3.8 s at 10.54 Hz,50% of fixes remain within 3.6 m over 24 hr when stationary,none,Tunisia,e-obs GmbH,43.0,other-wireless
2848,DER AP807,Ciconia ciconia,2013-06-08 05:03:00.000,,confirmed dead,juvenile,,DER AP807,harness,36.809,10.261,tarsus length: 250 mm; length beak top: 136 mm,dead,DER AP807 (2848) +,5 min from 400 to 2200 local time at breeding grounds; 3D acc bursts recorded for 3.8 s at 10.54 Hz,50% of fixes remain within 3.6 m over 24 hr when stationary,none,Tunisia,e-obs GmbH,43.0,other-wireless
2754,DER AP805,Ciconia ciconia,2013-06-08 05:03:45.000,2013-12-04 23:59:59.999,confirmed dead,juvenile,,DER AP805,harness,36.809,10.261,tarsus length: 153 mm; length beak top: 77 mm,dead,DER AP805 (2754) +,5 min from 400 to 2200 local time at breeding grounds; 3D acc bursts recorded for 3.8 s at 10.54 Hz,50% of fixes remain within 3.6 m over 24 hr when stationary,none,Tunisia,e-obs GmbH,43.0,other-wireless
2755,DER AP804,Ciconia ciconia,2013-06-08 06:55:47.000,,confirmed dead,juvenile,,DER AP804,harness,36.809,10.261,tarsus length: 161 mm; length beak top: 86 mm,dead,DER AP804 (2755) +,5 min from 400 to 2200 local time at breeding grounds; 3D acc bursts recorded for 3.8 s at 10.54 Hz,50% of fixes remain within 3.6 m over 24 hr when stationary,none,Tunisia,e-obs GmbH,43.0,other-wireless
2671,DER AP801,Ciconia ciconia,2013-06-08 06:55:51.001,,confirmed dead,juvenile,,DER AP801,harness,36.809,10.261,tarsus length: 210 mm; length beak top: 103 mm,dead,DER AP801 (2671) +,5 min from 400 to 2200 local time at breeding grounds; 3D acc bursts recorded for 3.8 s at 10.54 Hz,50% of fixes remain within 3.6 m over 24 hr when stationary,none,Tunisia,e-obs GmbH,43.0,other-wireless
3046,C703,Ciconia ciconia,2013-06-11 08:01:01.000,2013-07-15 09:25:16.999,confirmed dead,juvenile,3250.0,C703,harness,37.357,-6.026,tarsus length: 228 mm; length beak top: 132 mm,dead,C703 (3046) +,5 min from 400 to 2200 local time at breeding grounds; 3D acc bursts recorded for 3.8 s at 10.54 Hz,50% of fixes remain within 3.6 m over 24 hr when stationary,none,Spain,e-obs GmbH,43.0,other-wireless
2856,C708,Ciconia ciconia,2013-06-11 08:02:46.000,,confirmed dead,juvenile,3500.0,C708,harness,37.357,-6.026,tarsus length: 210 mm; length beak top: 127 mm,dead,C708 (2856) +,5 min from 400 to 2200 local time at breeding grounds; 3D acc bursts recorded for 3.8 s at 10.54 Hz,50% of fixes remain within 3.6 m over 24 hr when stationary,none,Spain,e-obs GmbH,43.0,other-wireless
2748,C711,Ciconia ciconia,2013-06-11 08:02:56.001,2014-03-07 23:59:59.999,,juvenile,3950.0,C711,harness,37.357,-6.026,tarsus length: 208 mm; length beak top: 117 mm,,C711 (2748),5 min from 400 to 2200 local time at breeding grounds; 3D acc bursts recorded for 3.8 s at 10.54 Hz,50% of fixes remain within 3.6 m over 24 hr when stationary,none,Spain,e-obs GmbH,43.0,other-wireless
2763,C70V,Ciconia ciconia,2013-06-11 08:03:00.998,,,juvenile,4000.0,C70V,harness,37.357,-6.026,tarsus length: 223 mm; length beak top: 132 mm,,C70V (2763),5 min from 400 to 2200 local time at breeding grounds; 3D acc bursts recorded for 3.8 s at 10.54 Hz,50% of fixes remain within 3.6 m over 24 hr when stationary,none,Spain,e-obs GmbH,43.0,other-wireless
2762,C64W,Ciconia ciconia,2013-06-11 08:05:41.000,2013-07-20 23:59:59.999,confirmed dead,juvenile,3000.0,C64W,harness,37.357,-6.026,tarsus length: 200 mm; length beak top: 106 mm,dead,C64W (2762) +,5 min from 400 to 2200 local time at breeding grounds; 3D acc bursts recorded for 3.8 s at 10.54 Hz,50% of fixes remain within 3.6 m over 24 hr when stationary,none,Spain,e-obs GmbH,43.0,other-wireless
